epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,30829,0.53525,0.66004,0.33471,0.7995,0.9927,0.98097,0.99306,0.92339,0.97209,0.95424,0.97487,0.5785,0.42426,0.74994,0.26957,0.78658,0.008713,0.008713,0.008713
41,31595.3,0.53274,0.65891,0.33247,0.79946,0.99129,0.98174,0.99211,0.92079,0.9658,0.95415,0.96471,0.56514,0.42255,0.71505,0.26738,0.78719,0.00868,0.00868,0.00868
42,32381.8,0.53112,0.65504,0.3321,0.80019,0.99429,0.98016,0.99236,0.91675,0.96982,0.95319,0.97233,0.5671,0.43376,0.70051,0.27059,0.78838,0.008647,0.008647,0.008647
43,33150.9,0.5292,0.65809,0.32936,0.79881,0.99343,0.98068,0.99283,0.91743,0.97388,0.95704,0.97544,0.58025,0.42276,0.74829,0.26819,0.78531,0.008614,0.008614,0.008614
44,33922.9,0.52766,0.65429,0.32858,0.80136,0.99336,0.98215,0.99344,0.92244,0.97078,0.95795,0.97504,0.57798,0.42047,0.69453,0.26682,0.78632,0.008581,0.008581,0.008581
45,34692.2,0.52907,0.66965,0.32942,0.79923,0.99219,0.98067,0.9923,0.92187,0.97303,0.95549,0.97391,0.58309,0.41917,0.69197,0.26456,0.78625,0.008548,0.008548,0.008548
46,35465.9,0.51939,0.66196,0.32429,0.80001,0.99348,0.98115,0.99214,0.9201,0.97388,0.95608,0.97444,0.58496,0.42869,0.67707,0.26493,0.78726,0.008515,0.008515,0.008515
47,36242,0.51103,0.6543,0.32197,0.79851,0.99424,0.98182,0.99411,0.92226,0.97159,0.95169,0.97054,0.57268,0.41416,0.73273,0.25905,0.78774,0.008482,0.008482,0.008482
48,37048.9,0.51193,0.62741,0.3203,0.79863,0.9938,0.98414,0.99209,0.92216,0.97425,0.95665,0.97314,0.57739,0.41188,0.75041,0.25747,0.78728,0.008449,0.008449,0.008449
49,37828.2,0.50931,0.63752,0.32155,0.79826,0.99134,0.98353,0.99271,0.92978,0.97146,0.95746,0.97551,0.5845,0.39888,0.72702,0.25533,0.78588,0.008416,0.008416,0.008416
50,38617.5,0.50078,0.62162,0.31613,0.79737,0.99516,0.98283,0.99292,0.92774,0.9724,0.95895,0.97396,0.57898,0.40337,0.76344,0.25573,0.78572,0.008383,0.008383,0.008383
51,39387.2,0.50131,0.62357,0.31853,0.7962,0.99373,0.9829,0.99266,0.92654,0.97299,0.95893,0.97384,0.57356,0.4036,0.69513,0.25397,0.78532,0.00835,0.00835,0.00835
52,40182.5,0.50194,0.62844,0.31602,0.79923,0.99312,0.98131,0.99239,0.93033,0.97738,0.96121,0.97805,0.58013,0.39209,0.66646,0.25194,0.78412,0.008317,0.008317,0.008317
